Codigo	Nombre	Descripcion	Habilitado	Fecha_Actualizacion
A000	"COLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO CHOLERAE"	COLERA	SI	18/08/2025 15:27
A001	"COLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO EL TOR"	COLERA	SI	18/08/2025 15:27
A009	"COLERA, NO ESPECIFICADO"	COLERA	SI	18/08/2025 15:27
A010	FIEBRE TIFOIDEA	FIEBRES TIFOIDEA Y PARATIFOIDEA	SI	18/08/2025 15:27
A011	FIEBRE PARATIFOIDEA A	FIEBRES TIFOIDEA Y PARATIFOIDEA	SI	18/08/2025 15:27
A012	FIEBRE PARATIFOIDEA B	FIEBRES TIFOIDEA Y PARATIFOIDEA	SI	18/08/2025 15:27
A013	FIEBRE PARATIFOIDEA C	FIEBRES TIFOIDEA Y PARATIFOIDEA	SI	18/08/2025 15:27
A014	"FIEBRE PARATIFOIDEA, NO ESPECIFICADA"	FIEBRES TIFOIDEA Y PARATIFOIDEA	SI	18/08/2025 15:27
A020	ENTERITIS DEBIDA A SALMONELLA	OTRAS INFECCIONES DEBIDAS SALMONELLA	SI	18/08/2025 15:27
A021	SEPSIS DEBIDA A SALMONELLA	OTRAS INFECCIONES DEBIDAS SALMONELLA	SI	18/08/2025 15:27
A022	INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA	OTRAS INFECCIONES DEBIDAS SALMONELLA	SI	18/08/2025 15:27
A028	OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA	OTRAS INFECCIONES DEBIDAS SALMONELLA	SI	18/08/2025 15:27
A029	"INFECCION DEBIDA A SALMONELLA, NO ESPECIFICADA"	OTRAS INFECCIONES DEBIDAS SALMONELLA	SI	18/08/2025 15:27
A030	SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE	SHIGELOSIS	SI	18/08/2025 15:27
A031	SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI	SHIGELOSIS	SI	18/08/2025 15:27
A032	SHIGELOSIS DEBIDA A SHIGELLA BOYDII	SHIGELOSIS	SI	18/08/2025 15:27
A033	SHIGELOSIS DEBIDA A SHIGELLA SONNEI	SHIGELOSIS	SI	18/08/2025 15:27
A038	OTRAS SHIGELOSIS	SHIGELOSIS	SI	18/08/2025 15:27
A039	SHIGELOSIS DE TIPO NO ESPECIFICADO	SHIGELOSIS	SI	18/08/2025 15:27
A040	INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA	OTRAS INFECCIONES INTESTINALES BACTERIANAS	SI	18/08/2025 15:27
A041	INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA	OTRAS INFECCIONES INTESTINALES BACTERIANAS	SI	18/08/2025 15:27
A042	INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA	OTRAS INFECCIONES INTESTINALES BACTERIANAS	SI	18/08/2025 15:27
A043	INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA	OTRAS INFECCIONES INTESTINALES BACTERIANAS	SI	18/08/2025 15:27
A044	OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI	OTRAS INFECCIONES INTESTINALES BACTERIANAS	SI	18/08/2025 15:27
A045	ENTERITIS DEBIDA A CAMPYLOBACTER	OTRAS INFECCIONES INTESTINALES BACTERIANAS	SI	18/08/2025 15:27
A046	ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA	OTRAS INFECCIONES INTESTINALES BACTERIANAS	SI	18/08/2025 15:27
A047	ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE	OTRAS INFECCIONES INTESTINALES BACTERIANAS	SI	18/08/2025 15:27
A048	OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS	OTRAS INFECCIONES INTESTINALES BACTERIANAS	SI	18/08/2025 15:27
A049	"INFECCION INTESTINAL BACTERIANA, NO ESPECIFICADA"	OTRAS INFECCIONES INTESTINALES BACTERIANAS	SI	18/08/2025 15:27
A050	INTOXICACION ALIMENTARIA ESTAFILOCOCICA	OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE	SI	18/08/2025 15:27
A051	BOTULISMO	OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE	SI	18/08/2025 15:27
A052	INTOXICACION ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII]	OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE	SI	18/08/2025 15:27
